sleep_start,sleep_end,time_in_bed,minutes_sleep,minutes_awake
2018-02-06 01:19,2018-02-06 09:32,493,413,80
2018-02-06 16:19,2018-02-06 19:23,184,182,2
2018-02-06 22:19,2018-02-07 09:15,656,580,76
2018-02-25 00:46,2018-02-25 08:26,460,391,69
2018-02-25 11:53,2018-02-25 13:22,89,81,7
2018-03-12 00:46,2018-03-12 08:46,480,394,86
2018-04-02 00:40,2018-04-02 08:31,471,429,42
2018-04-10 01:12,2018-04-10 07:12,360,322,38
2018-04-11 00:08,2018-04-11 08:03,475,430,45
2018-04-19 00:13,2018-04-19 08:27,494,448,46
2018-04-21 02:33,2018-04-21 05:30,177,171,6
2018-04-23 00:58,2018-04-23 09:18,500,448,52
2018-04-27 00:46,2018-04-27 07:55,429,373,56
2018-04-28 00:26,2018-04-28 07:16,410,374,36
2018-05-01 02:04,2018-05-01 08:27,383,344,39
2018-05-02 01:27,2018-05-02 07:54,387,348,39
2018-05-03 00:43,2018-05-03 08:53,490,454,36
2018-05-08 01:48,2018-05-08 08:09,381,340,41
2018-05-09 23:07,2018-05-10 08:53,586,517,69
2018-05-11 00:16,2018-05-11 08:14,478,428,50
2018-05-13 01:18,2018-05-13 08:52,454,405,49
2019-12-19 15:30,2019-12-19 20:26,296,296,0
2020-11-25 08:11,2020-11-25 09:43,92,90,2
2020-12-25 15:37,2020-12-25 17:14,97,95,2
2021-01-03 08:25,2021-01-03 10:35,130,130,0
2021-01-08 12:14,2021-01-08 14:46,152,149,3
2021-01-08 16:57,2021-01-08 22:50,353,352,1
2021-01-27 07:36,2021-01-27 09:43,127,126,1
2021-02-24 09:19,2021-02-24 12:58,219,219,0
2021-03-28 23:20,2021-03-29 08:10,530,473,57
2021-04-28 22:37,2021-04-29 00:04,87,87,0
2021-05-04 09:23,2021-05-04 14:41,318,318,0
2021-05-11 17:26,2021-05-11 21:51,265,265,0
